event_id,event_type,order_id,status,branch,route,driver_id,sla_minutes,actual_minutes,delay_reason,is_sla_breached,event_timestamp
evt-10001,ORDER_STATUS_UPDATED,ORD-2026-0001,PICKED_UP,Bandung Hub,JKT-SBY,DRV-002,1440,1397,,False,2026-06-01T11:00:00Z
evt-10002,ORDER_STATUS_UPDATED,ORD-2026-0002,IN_TRANSIT,Surabaya Hub,BDG-JKT,DRV-003,2160,2154,,False,2026-06-01T14:00:00Z
evt-10003,ORDER_STATUS_UPDATED,ORD-2026-0003,DELAYED,Bekasi DC,BKS-JKT,DRV-004,2880,2911,Vehicle maintenance,True,2026-06-01T17:00:00Z
evt-10004,ORDER_STATUS_UPDATED,ORD-2026-0004,DELIVERED,Semarang Hub,SMG-SBY,DRV-005,720,788,Warehouse queue,True,2026-06-01T20:00:00Z
evt-10005,ORDER_STATUS_UPDATED,ORD-2026-0005,CANCELLED,Jakarta Hub,SBY-DPS,DRV-006,1440,1545,,True,2026-06-01T23:00:00Z
evt-10006,ORDER_STATUS_UPDATED,ORD-2026-0006,CREATED,Bandung Hub,JKT-BDG,DRV-007,2160,2302,Traffic congestion,True,2026-06-02T02:00:00Z
evt-10007,ORDER_STATUS_UPDATED,ORD-2026-0007,PICKED_UP,Surabaya Hub,JKT-SBY,DRV-008,2880,3059,Weather issue,True,2026-06-02T05:00:00Z
evt-10008,ORDER_STATUS_UPDATED,ORD-2026-0008,IN_TRANSIT,Bekasi DC,BDG-JKT,DRV-009,720,936,Vehicle maintenance,True,2026-06-02T08:00:00Z
evt-10009,ORDER_STATUS_UPDATED,ORD-2026-0009,DELAYED,Semarang Hub,BKS-JKT,DRV-010,1440,1693,Warehouse queue,True,2026-06-02T11:00:00Z
evt-10010,ORDER_STATUS_UPDATED,ORD-2026-0010,DELIVERED,Jakarta Hub,SMG-SBY,DRV-011,2160,2090,,False,2026-06-02T14:00:00Z
evt-10011,ORDER_STATUS_UPDATED,ORD-2026-0011,CANCELLED,Bandung Hub,SBY-DPS,DRV-012,2880,2847,,False,2026-06-02T17:00:00Z
evt-10012,ORDER_STATUS_UPDATED,ORD-2026-0012,CREATED,Surabaya Hub,JKT-BDG,DRV-013,720,724,Weather issue,True,2026-06-02T20:00:00Z
evt-10013,ORDER_STATUS_UPDATED,ORD-2026-0013,PICKED_UP,Bekasi DC,JKT-SBY,DRV-014,1440,1481,Vehicle maintenance,True,2026-06-02T23:00:00Z
